OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
1717,319362,1611755760000,Urban Forestry,Tree Issues On Private Property,2426 AGNEW ST,7.0,Closed,1611860580000.0,Control Panel,32.3542124,-86.2870065,2021,{559DF105-656D-47A2-AC85-CF106D29EF8F},,,,,516068.9751399942,674774.02387999
1718,319363,1611755760000,Urban Forestry,Inquiries,,,Closed,1611755820000.0,Control Panel,0.0,0.0,2021,{8F994BF7-502D-46AB-9548-D1A97218F1A0},,,,,NaN,NaN
1719,319364,1611755820000,Urban Forestry,Inquiries,,,Closed,1611755880000.0,Control Panel,0.0,0.0,2021,{92EC8467-1ACF-43F6-9F3C-BF44C3FED3B3},,,,,NaN,NaN
1720,319365,1611755940000,Urban Forestry,Tree Issues On Private Property,702 THORN PL,7.0,Closed,1611861120000.0,Control Panel,32.3532784,-86.2961683,2021,{84A0962D-44DE-40AB-BFFF-C88F1E2B7FF1},,,,,513238.2472056635,674446.3335904926
1721,319366,1611756060000,Sanitation Department,Inquiries,,,Closed,1611756060000.0,Call Center,0.0,0.0,2021,{3C1DD480-BEFA-4980-96B1-D80A82B7EFB9},,,,,NaN,NaN
1722,319367,1611756300000,Code Enforcement,Nuisance,4491 TROY HWY,6.0,Closed,1611928020000.0,Call Center,32.312389,-86.2230461,2021,{A9C87FF0-04B8-4A34-BEE6-3C8466EF51DB},,,,,535765.2165873274,659480.4809763208
1723,319368,1611756600000,Sanitation Department,Exchange Damage Container,661 WEST APRIL ST,4.0,Closed,1611926640000.0,Call Center,32.3345437,-86.3178081,2021,{686C4ABC-45F7-436B-A763-28694A7951D2},,,,,506524.74258808047,667659.9888954908
1724,319369,1611756960000,Building Maintenance,Fire Electrical,2700 LOWER WETUMPKA RD,3.0,Closed,1611763500000.0,Call Center,32.4127565,-86.2859594,2021,{6647149B-B087-4030-8AE2-31A9AA4C5888},,,,,516482.4493786618,696071.7926360741
1725,319370,1611757140000,Sanitation Department,Commercial garbage Pick Up,1202 SAYRE ST,7.0,Closed,1613740140000.0,Call Center,32.3615632,-86.3103977,2021,{ECDFC8AC-902D-4B6A-AF5F-75997F7194B1},,,,,508857.4442874938,677479.7363163233
1726,319371,1611757320000,Building Maintenance,Fire Plumbing,2708 LAGOON PARK DR,2.0,Closed,1611768900000.0,Call Center,32.3997527,-86.2255898,2021,{AE916702-DB4D-498A-A2D3-6A03BA5EF123},,,,,535095.7927293293,691267.2021796554
1727,319372,1611757380000,Building Maintenance,COM Hvac/Refrigeration,245 HIGH ST,3.0,Closed,1611768420000.0,Call Center,32.3725403,-86.3055823,2021,{7139D729-9251-4966-9F73-87F2AEB30030},,,,,510361.9931156635,681466.7549170703
1728,319373,1611757380000,Code Enforcement,Nuisance,2062 REXFORD RD,8.0,Closed,1611928020000.0,Call Center,32.3399318,-86.2174875,2021,{8CBCD375-1050-42B4-98CA-6FF1C3D2FEE2},,,,,537518.4791569114,669494.5971029028
1729,319374,1611757440000,Code Enforcement,Nuisance,OAK ST,4.0,Closed,1611846840000.0,Call Center,32.3514535,-86.3233828,2021,{28387C16-01DA-4780-82C4-606FD3496EEF},,,,,504830.9920385778,673819.810893409
1730,319375,1611757500000,Building Maintenance,COM Paint,2855 LAGOON PARK DR,2.0,Closed,1612876380000.0,Call Center,32.4024124,-86.2177189,2021,{BBEC218A-1F57-44C4-9E0C-49E0C80304C8},,,,,537528.6585984938,692226.0135822371
1731,319376,1611757500000,Building Maintenance,COM Carpentry,2855 LAGOON PARK DR,2.0,Closed,1611928560000.0,Call Center,32.4024124,-86.2177189,2021,{18612A83-47EC-4CBF-B4FF-DE4E2BAEB9B1},,,,,537528.6585984938,692226.0135822371
1732,319377,1611758220000,FAQ,FAQ-City Hall ,,,Closed,1611758220000.0,Call Center,0.0,0.0,2021,{B8BF15F9-F482-475E-B86D-602BD623A740},,,,,NaN,NaN
1733,319378,1611758520000,Code Enforcement,Nuisance,2807 LOWER WETUMPKA RD,3.0,Closed,1611843240000.0,Call Center,32.4144588,-86.2867524,2021,{89DB4524-9B02-45E8-8929-380514961D5E},,,,,516240.34782874584,696692.1526158229
1734,319379,1611758760000,Sanitation Department,Leaves and Debris Pick up,132 LOOKOUT RIDGE RD,1.0,Closed,1611926520000.0,Call Center,32.3791533,-86.221944,2021,{A853909C-ACEB-4CE8-BF9B-BB2F147B014D},,,,,536193.8558219112,683768.7716384903
1735,319380,1611760440000,Sanitation Department,Inquiries,,,Closed,1611760440000.0,Call Center,0.0,0.0,2021,{1E0695B5-F908-43CE-9FC8-C4BB0034D4AB},,,,,NaN,NaN
1736,319381,1611760740000,FAQ,Ask 3-1-1,,,Closed,1611760740000.0,Call Center,0.0,0.0,2021,{8E98EFD2-A5E3-4A7E-9AE9-9461589504FF},,,,,NaN,NaN
1737,319382,1611761100000,Street Maintenance,Street Flooding,5755 CARMICHAEL PKWY,9.0,Closed,1612993140000.0,Website,32.3612516,-86.2080119,2021,{C5858EA4-28D6-444C-B269-04F2860D5036},,,,,540472.2314514965,677240.5888287425
1738,319383,1611761880000,FAQ,FAQ-Municipal Court,,,Closed,1611761880000.0,Call Center,0.0,0.0,2021,{A8B81887-EB4F-4DF4-8394-9000BC4FD032},,,,,NaN,NaN
1739,319384,1611762900000,Code Enforcement,Nuisance,2528 LARK DR,4.0,Closed,1611928860000.0,Control Panel,32.3411138,-86.3339329,2021,{0AAB22E7-E22D-430B-AF05-C23915E85A4B},,,,,501555.3197841607,670073.1710769907
1740,319385,1611762960000,Code Enforcement,Nuisance,2529 LARK DR,4.0,Closed,1611928860000.0,Control Panel,32.3408789,-86.3334575,2021,{2296E14A-56A2-4FCA-A129-D42C2CDB02EA},,,,,501701.75092174485,669987.0259080753
1741,319386,1611763020000,Sanitation Department,Inquiries,,,Closed,1611763020000.0,Call Center,0.0,0.0,2021,{4CF8CCFD-711E-41ED-946B-3EEB402D541C},,,,,NaN,NaN
1742,319387,1611763860000,Sanitation Department,Dead Animal pickup,714 ALAMO DR,5.0,Closed,1611937440000.0,Call Center,32.3284283,-86.2946222,2021,{1D625BE9-697A-4879-96DA-43D7B2A69B4B},,,,,513676.76535749435,665403.525888741
1743,319388,1611763920000,Traffic Engineering,Street Light Out,35 FELDER AVE,3.0,Closed,1611795540000.0,Website,32.3573753,-86.3077893,2021,{85661192-8035-454B-BB61-9BC7DBF68831},,,,,509656.12805758044,675952.5451449901
1744,319389,1611764040000,Planning Department,Inquiries,,,Closed,1611764040000.0,Call Center,0.0,0.0,2021,{6650804A-E410-4F1C-A8EC-1F3B79D2A10D},,,,,NaN,NaN
1745,319390,1611764160000,FAQ,FAQ-City Hall ,,,Closed,1611764160000.0,Call Center,0.0,0.0,2021,{D20AD6C0-A122-499D-9D2B-4A68815726B8},,,,,NaN,NaN
1746,319391,1611764400000,Sanitation Department,Inquiries,,,Closed,1611764400000.0,Call Center,0.0,0.0,2021,{F9192E98-6AED-4CB5-BA7F-F8E5F13A422A},,,,,NaN,NaN
1747,319392,1611764460000,Code Enforcement,Nuisance,3685 OLD SELMA RD,4.0,Closed,1611928860000.0,Call Center,32.3436771,-86.3902806,2021,{4899106C-5583-419D-BC56-4194B29D1334},,,,,484156.82636599615,671091.6585413218
1748,319393,1611764520000,Sanitation Department,Litter Problems for paper and Other Small Items (DO NOT USE FOR BULKY ITEMS),OLD SELMA RD,4.0,Closed,1612274040000.0,Call Center,32.3499255,-86.3826843,2021,{B8E52DEB-96F1-4F27-B6EB-E4DC68EB3890},,,,,486514.5916635804,673352.794438988
1749,319394,1611764760000,FAQ,Ask 3-1-1,,,Closed,1611764760000.0,Call Center,0.0,0.0,2021,{F750927C-AE3E-4732-90FE-AC266AC5CD9B},,,,,NaN,NaN
1750,319395,1611764940000,Sanitation Department,Inquiries,,,Closed,1611764940000.0,Call Center,0.0,0.0,2021,{D0C61201-7DEE-494E-B70F-B329BE41055A},,,,,NaN,NaN
1751,319396,1611764940000,Sanitation Department,General Sanitation Inquiry,1566 WESTBURY PARK CT,8.0,Closed,1611955620000.0,Website,32.3107755,-86.1402434,2021,{DD285531-2E66-40DA-A4E5-AB19C8F25CDC},,,,,561345.4843243286,658810.348130241
1752,319397,1611765000000,Building Maintenance,COM Cabinet Shop,911 Communications Pkwy,3.0,Closed,1612362480000.0,Call Center,32.387718,-86.2925805,2021,{30CC079E-05A8-4844-91BB-2F30D7800E53},,,,,514399.97880607843,686971.1349844038
1753,319398,1611765240000,FAQ,Ask 3-1-1,,,Closed,1611765240000.0,Call Center,0.0,0.0,2021,{2C40F243-3FED-4C33-98B0-2DAE8398AB26},,,,,NaN,NaN
1754,319399,1611765660000,FAQ,Ask 3-1-1,,,Closed,1611765660000.0,Call Center,0.0,0.0,2021,{22F1E117-3105-4B32-9B59-6867043EA914},,,,,NaN,NaN
1755,319400,1611766140000,Sanitation Department,Litter Problems for paper and Other Small Items (DO NOT USE FOR BULKY ITEMS),FEDERAL DR,2.0,Closed,1611926520000.0,Call Center,32.3974469,-86.2726705,2021,{2D5DED6F-8748-4865-A463-AAC0C0E33BF9},,,,,520560.6623508297,690484.8267759085
1756,319401,1611766380000,Urban Forestry,Tree Trimming,FEDERAL DR,2.0,Closed,1613167260000.0,Call Center,32.393184,-86.2725783,2021,{39CF4442-15B4-494D-89AF-FA520D6DDE46},,,,,520582.7512174137,688933.8072401583
1757,319402,1611766440000,Code Enforcement,Nuisance,SELMAN ST,7.0,Closed,1611928500000.0,Call Center,32.350752,-86.312415,2021,{13E13531-1E0C-4C4E-9124-3528700BE345},,,,,508216.9291643277,673549.2677993253
1758,319403,1611766500000,Code Enforcement,Parking On Front Lawn,3145 WILLOW LANE DR,1.0,Closed,1611851040000.0,Call Center,32.3787579,-86.2636911,2021,{B1E2E0E3-E697-40EE-AEFF-8574ECAD8188},,,,,523304.9140801616,683674.2482054904
1759,319404,1611766500000,Code Enforcement,Parking On Front Lawn,3149 WILLOW LANE DR,1.0,Closed,1611851040000.0,Call Center,32.3789562,-86.2636713,2021,{37E05A22-7DDE-426A-B84D-471F515AA435},,,,,523311.31695449725,683746.3678119034
1760,319405,1611766560000,Code Enforcement,Parking On Front Lawn,3201 WILLOW LANE DR,1.0,Closed,1611850860000.0,Call Center,32.379133,-86.2636713,2021,{A0180B58-2F45-4E49-830B-23A8B36F8279},,,,,523311.57581224665,683810.6898617372
1761,319406,1611767040000,FAQ,Ask 3-1-1,,,Closed,1611767040000.0,Call Center,0.0,0.0,2021,{5F596B54-C469-4397-9585-80017A6B87F6},,,,,NaN,NaN
